Timestamp,Value
0.007693184,651
0.015386421,383
0.023079658,-420
0.030772896,-722
0.038466133,-413
0.046159370,-295
0.053852608,-358
0.061545845,-292
0.069239082,-267
0.076932320,-295
0.084625557,-267
0.092318794,-258
0.100012031,-270
0.107705269,-254
0.115398506,-229
0.123091743,-222
0.130784981,-213
0.138478218,-179
0.146171455,-143
0.153864693,-108
0.161557930,-72
0.169251167,-61
0.176944404,-77
0.184637642,-104
0.192330879,-136
0.200024116,-177
0.207717354,-245
0.215410591,-304
0.223103828,-340
0.230797066,-370
0.238490303,-381
0.246183540,-385
0.253876778,-374
0.261570015,-354
0.269263252,-354
0.276956489,-356
0.284649727,-349
0.292342964,-358
0.300036201,-367
0.307729439,-376
0.315422676,-379
0.323115913,-379
0.330809151,-397
0.338502388,-404
0.346195625,-395
0.353888863,-390
0.361582100,-383
0.369275337,-383
0.376968574,-379
0.384661812,-376
0.392355049,-390
0.400048286,-397
0.407741524,-388
0.415434761,-390
0.423127998,-372
0.430821236,-168
0.438514473,315
0.446207710,574
0.453900947,13
0.461594185,-742
0.469287422,-731
0.476980659,-395
0.484673897,-399
0.492367134,-431
0.500060371,-336
0.507753609,-342
0.515446846,-370
0.523140083,-324
0.530833321,-311
0.538526558,-322
0.546219795,-304
0.553913032,-283
0.561606270,-263
0.569299384,-236
0.576992499,-197
0.584685614,-154
0.592378729,-122
0.600071844,-84
0.607764960,-63
0.615458075,-88
0.623151190,-127
0.630844305,-163
0.638537421,-204
0.646230536,-245
0.653923651,-279
0.661616766,-315
0.669309882,-342
0.677002997,-336
0.684696112,-324
0.692389227,-324
0.700082343,-315
0.707775458,-301
0.715468573,-297
0.723161688,-301
0.730854803,-301
0.738547919,-290
0.746241034,-292
0.753934149,-306
0.761627264,-308
0.769320380,-308
0.777013495,-313
0.784706610,-313
0.792399725,-301
0.800092841,-279
0.807785956,-283
0.815479071,-288
0.823172186,-279
0.830865302,-290
0.838558417,-304
0.846251532,-301
0.853944647,-292
0.861637762,-277
0.869330878,-115
0.877023993,320
0.884717108,631
0.892410223,199
0.900103339,-572
0.907796454,-685
0.915489569,-363
0.923182684,-326
0.930875800,-388
0.938568915,-311
0.946262030,-281
0.953955145,-301
0.961648261,-272
0.969341376,-249
0.977034491,-247
0.984727606,-240
0.992420721,-231
1.000113837,-211
1.007806952,-181
1.015500067,-147
1.023193182,-106
1.030886298,-61
1.038579413,-27
1.046272528,-24
1.053965643,-45
1.061658759,-70
1.069351874,-108
1.077044989,-156
1.084738104,-199
1.092431219,-233
1.100124335,-258
1.107817450,-281
1.115510565,-295
1.123203680,-283
1.130896932,-265
1.138590170,-256
1.146283407,-258
1.153976644,-254
1.161669882,-252
1.169363119,-270
1.177056356,-277
1.184749593,-270
1.192442831,-272
1.200136068,-279
1.207829305,-281
1.215522543,-281
1.223215780,-277
1.230909017,-272
1.238602255,-254
1.246295492,-249
1.253988729,-256
1.261681967,-263
1.269375204,-274
1.277068441,-277
1.284761678,-274
1.292454916,-270
1.300148153,-258
1.307841390,-233
1.315534628,-70
1.323227865,317
1.330921102,583
1.338614340,181
1.346307577,-540
1.354000814,-647
1.361694051,-333
1.369387289,-286
1.377080526,-326
1.384773763,-256
1.392467001,-238
1.400160238,-263
1.407853475,-238
1.415546713,-215
1.423239950,-215
1.430933187,-206
1.438626425,-177
1.446319662,-161
1.454012899,-136
1.461706136,-93
1.469399374,-56
1.477092611,-11
1.484785848,29
1.492479086,34
1.500172323,24
1.507865560,-2
1.515558798,-36
1.523252035,-70
1.530945272,-106
1.538638510,-143
1.546331747,-177
1.554024984,-202
1.561718221,-208
1.569411459,-206
1.577104696,-195
1.584797933,-192
1.592491171,-195
1.600184408,-190
1.607877645,-197
1.615570883,-204
1.623264120,-206
1.630957357,-217
1.638650594,-213
1.646343832,-211
1.654037069,-211
1.661730306,-211
1.669423544,-211
1.677116781,-211
1.684810018,-215
1.692503063,-197
1.700196056,-174
1.707889049,-186
1.715582042,-190
