Timestamp,Value
0.007693043,-224
0.015386036,-211
0.023079030,-208
0.030772023,-208
0.038465016,-202
0.046158009,-195
0.053851002,-186
0.061543995,-177
0.069236989,-161
0.076929982,-152
0.084622975,-149
0.092315968,-145
0.100008961,-147
0.107701954,-143
0.115394948,-124
0.123087941,-127
0.130780934,-122
0.138473927,-124
0.146166920,-133
0.153859913,-124
0.161552907,-122
0.169245900,-124
0.176938893,-127
0.184631886,-131
0.192324879,-129
0.200017872,-129
0.207710866,-124
0.215403859,-118
0.223096852,-124
0.230789845,-124
0.238482838,-129
0.246175831,-136
0.253868825,-127
0.261561818,-124
0.269254811,-129
0.276947804,-136
0.284640797,-133
0.292333790,-113
0.300026784,-106
0.307719777,-104
0.315412770,-95
0.323105763,-102
0.330798756,-102
0.338491749,-104
0.346184743,-108
0.353877736,-97
0.361570729,-88
0.369263722,-70
0.376956715,-54
0.384649708,-65
0.392342702,-77
0.400035695,-88
0.407728688,-93
0.415421681,-90
0.423114674,-93
0.430807667,-90
0.438500661,-97
0.446193654,-61
0.453886647,179
0.461579640,615
0.469272633,792
0.476965626,263
0.484658620,-424
0.492351613,-415
0.500044606,-122
0.507737599,-136
0.515430592,-192
0.523123585,-136
0.530816578,-122
0.538509572,-143
0.546202565,-124
0.553895558,-108
0.561588551,-120
0.569281596,-118
0.576974589,-111
0.584667582,-120
0.592360575,-118
0.600053569,-111
0.607746562,-111
0.615439555,-108
0.623132548,-111
0.630825541,-106
0.638518534,-97
0.646211528,-79
0.653904521,-59
0.661597514,-56
0.669290507,-45
0.676983500,-29
0.684676493,-20
0.692369487,-6
0.700062480,0
0.707755473,0
0.715448466,6
0.723141459,0
0.730834452,-6
0.738527446,-24
0.746220439,-59
0.753913432,-95
0.761606425,-133
0.769299418,-158
0.776992411,-174
0.784685405,-188
0.792378398,-188
0.800071391,-188
0.807764384,-192
0.815457377,-188
0.823150370,-190
0.830843364,-183
0.838536357,-174
0.846229350,-165
0.853922343,-156
0.861615336,-158
0.869308329,-152
0.877001323,-145
0.884694316,-149
0.892387309,-143
0.900080302,-140
0.907773295,-140
0.915466288,-136
0.923159282,-143
0.930852275,-147
0.938545268,-152
0.946238261,-149
0.953931254,-143
0.961624247,-145
0.969317241,-136
0.977010234,-129
0.984703227,-136
0.992396220,-131
1.000089213,-133
1.007782206,-133
1.015475200,-129
1.023168193,-133
1.030861186,-127
1.038554179,-118
1.046247172,-111
1.053940165,-111
1.061633159,-122
1.069326152,-124
1.077019145,-122
1.084712138,-124
1.092405131,-118
1.100098124,-120
1.107791117,-124
1.115484111,-120
1.123177104,-122
1.130870010,-118
1.138562881,-115
1.146255752,-118
1.153948623,-115
1.161641495,-127
