Timestamp,Value
0.007693114,230
0.015386229,196
0.023079344,169
0.030772459,153
0.038465574,140
0.046158690,128
0.053851805,110
0.061544920,67
0.069238035,29
0.076931151,2
0.084624266,-15
0.092317381,-22
0.100010496,-36
0.107703612,-52
0.115396727,-49
0.123089842,-36
0.130782957,-36
0.138476073,-40
0.146169188,-42
0.153862303,-49
0.161555418,-61
0.169248533,-63
0.176941649,-58
0.184634764,-56
0.192327879,-56
0.200020994,-58
0.207714110,-61
0.215407225,-63
0.223100340,-63
0.230793455,-54
0.238486571,-47
0.246179686,-52
0.253872801,-54
0.261565916,-54
0.269259032,-49
0.276952147,-36
0.284645262,-29
0.292338377,-40
0.300031492,-47
0.307724608,-42
0.315417723,-42
0.323110838,-49
0.330803953,-56
0.338497069,-54
0.346190184,-49
0.353883299,-40
0.361576414,-18
0.369269530,-13
0.376962645,-33
0.384655760,-49
0.392348875,-65
0.400041991,-79
0.407735106,-74
0.415428221,-65
0.423121336,-70
0.430814451,-81
0.438507567,-119
0.446200682,-101
0.453893797,133
0.461586912,509
0.469280028,762
0.476973143,660
0.484666258,92
0.492359373,-461
0.500052489,-400
0.507745604,-108
0.515438719,-113
0.523131834,-158
0.530824949,-79
0.538518065,-49
0.546211180,-58
0.553904295,-29
0.561597410,0
0.569290106,18
0.576982855,49
0.584675604,85
0.592368353,117
0.600061102,149
0.607753851,185
0.615446600,233
0.623139349,291
0.630832098,337
0.638524847,348
0.646217596,332
0.653910345,291
0.661603094,244
0.669295843,205
0.676988592,176
0.684681341,147
0.692374090,97
0.700066839,47
0.707759588,9
0.715452337,-22
0.723145086,-45
0.730837835,-58
0.738530584,-76
0.746223333,-95
0.753916082,-104
0.761608831,-97
0.769301580,-81
0.776994329,-85
0.784687078,-101
0.792379827,-113
0.800072576,-124
0.807765325,-126
0.815458074,-124
0.823150823,-128
0.830843572,-122
0.838536321,-110
0.846229070,-117
0.853921819,-122
0.861614568,-115
0.869307317,-115
0.877000066,-122
0.884692815,-124
0.892385564,-122
0.900078314,-122
0.907771063,-117
0.915463812,-122
0.923156561,-131
0.930849310,-126
0.938542059,-126
0.946234808,-115
0.953927557,-92
0.961620306,-72
0.969313055,-49
0.977005804,-49
0.984698553,-72
0.992391302,-85
1.000084051,-85
1.007776800,-92
1.015469549,-97
1.023162298,-92
1.030855047,-85
1.038547796,-101
1.046240545,-153
1.053933294,-104
1.061626043,205
1.069318792,619
1.077011541,800
1.084704290,552
1.092397039,-47
1.100089788,-463
1.107782537,-334
1.115475286,-99
1.123168035,-90
1.130860871,-76
1.138553742,-6
1.146246613,-9
1.153939484,-27
1.161632355,-2
1.169325226,27
1.177018098,42
1.184710969,67
1.192403840,90
1.200096711,108
1.207789582,149
1.215482453,192
1.223175324,226
1.230868195,269
1.238561066,294
1.246253937,291
1.253946808,280
1.261639680,251
1.269332551,203
1.277025422,162
1.284718293,140
1.292411164,104
1.300104035,52
1.307796906,24
1.315489777,6
1.323182648,-24
1.330875519,-49
1.338568391,-61
1.346261262,-70
1.353954133,-83
1.361647004,-90
1.369339875,-83
1.377032746,-92
1.384725617,-115
1.392418488,-117
1.400111359,-110
1.407804230,-108
1.415497101,-119
1.423189973,-131
1.430882844,-131
1.438575715,-138
1.446268586,-147
1.453961457,-142
1.461654328,-131
1.469347199,-133
1.477040070,-144
1.484732941,-131
1.492425812,-95
1.500118683,-88
1.507811555,-108
1.515504426,-108
1.523197297,-88
1.530890168,-76
1.538583039,-58
1.546275910,-33
1.553968781,-42
1.561661652,-63
1.569354523,-67
1.577047394,-70
1.584740266,-76
1.592433137,-72
1.600126008,-70
1.607818879,-76
1.615511750,-110
1.623204621,-52
1.630897492,282
1.638590363,683
1.646283234,791
1.653976105,518
1.661668976,-31
1.669361848,-425
1.677054719,-318
1.684747590,-83
1.692440563,-58
1.700133556,-70
1.707826549,-27
1.715519543,-22
1.723212536,-24
1.730905529,-4
1.738598522,24
1.746291515,45
1.753984508,58
1.761677502,88
1.769370495,119
1.777063488,140
1.784756481,171
1.792449474,228
1.800142467,282
1.807835461,312
1.815528454,318
1.823221447,300
1.830914440,276
1.838607433,233
1.846300426,185
1.853993420,160
1.861686413,126
1.869379406,61
1.877072399,-2
1.884765392,-31
1.892458385,-47
1.900151379,-65
1.907844372,-83
1.915537365,-95
1.923230358,-101
1.930923351,-106
1.938616344,-106
1.946309338,-99
1.954002331,-110
1.961695324,-126
1.969388317,-124
1.977081310,-133
1.984774303,-126
1.992467296,-108
2.000160290,-115
2.007853283,-131
2.015546276,-133
2.023239269,-126
2.030932262,-108
2.038625255,-97
2.046318249,-95
2.054011242,-101
2.061704235,-97
2.069397228,-67
2.077090221,-47
2.084783214,-45
2.092476208,-31
2.100169201,-31
2.107862194,-40
2.115555187,-52
2.123248180,-76
2.130941173,-95
2.138634167,-81
2.146327160,-63
2.154020153,-72
2.161713146,-79
2.169406139,-99
2.177099132,-92
2.184792126,165
2.192485119,590
2.200178112,791
2.207871105,601
2.215564098,95
2.223257091,-380
2.230950085,-400
2.238643078,-138
2.246336071,-42
2.254028348,-83
2.261720609,-56
2.269412870,-24
2.277105131,-33
2.284797391,-20
2.292489652,13
2.300181913,36
2.307874174,54
2.315566434,85
2.323258695,115
2.330950956,140
2.338643217,185
2.346335477,210
2.354027738,194
2.361719999,244
2.369412260,318
2.377104520,300
2.384796781,228
2.392489042,142
2.400181303,18
2.407873563,-92
2.415565824,-72
2.423258085,9
2.430950346,-15
2.438642606,-81
2.446334867,-83
2.454027128,-90
2.461719389,-165
2.469411649,-244
2.477103910,-201
2.484796171,-99
2.492488431,-106
2.500180692,-151
2.507872953,-133
2.515565214,-110
2.523257474,-101
2.530949735,-90
2.538641996,-106
2.546334257,-117
2.554026517,-99
2.561718778,-83
2.569411039,-92
2.577103300,-101
2.584795560,-92
2.592487821,-90
2.600180082,-110
2.607872343,-110
2.615564603,-88
2.623256864,-88
2.630949125,-101
2.638641386,-90
2.646333646,-56
2.654025907,-42
2.661718168,-47
2.669410429,-49
2.677102689,-58
2.684794950,-67
2.692487211,-72
2.700179472,-65
2.707871732,-45
2.715563993,-49
2.723256254,-106
2.730948514,-135
2.738640775,52
2.746333036,445
2.754025297,705
2.761717557,624
2.769409818,199
2.777102079,-337
2.784794340,-486
2.792486600,-235
2.800178861,-88
2.807871122,-106
2.815563749,-70
2.823256376,-38
2.830949003,-47
2.838641630,-27
2.846334257,2
2.854026884,2
2.861719511,9
2.869412138,40
2.877104765,85
2.884797392,131
2.892490018,167
2.900182645,203
2.907875272,244
2.915567899,276
2.923260526,300
2.930953153,298
2.938645780,257
2.946338407,208
2.954031034,162
2.961723661,119
2.969416288,76
2.977108915,36
2.984801542,-13
2.992494169,-63
3.000186796,-90
3.007879423,-108
3.015572050,-133
3.023264677,-133
3.030957304,-122
3.038649931,-128
3.046342558,-126
3.054035184,-117
3.061727811,-117
3.069420438,-108
3.077113065,-108
3.084805692,-128
3.092498319,-135
3.100190946,-133
3.107883573,-135
3.115576200,-135
3.123268827,-142
3.130961454,-151
3.138654081,-160
3.146346708,-156
3.154039335,-142
3.161731962,-135
3.169424589,-135
3.177117216,-133
3.184809843,-131
3.192502470,-128
3.200195097,-122
3.207887724,-110
3.215580351,-106
3.223272977,-88
3.230965604,-74
3.238658231,-79
3.246350858,-81
3.254043485,-92
3.261736112,-115
3.269428739,-115
3.277121366,-101
